class,canonical,status,oc_names,swift_names,oc_support_names,oc_files,swift_files,oc_support_files
UIImageView,animationimages,aligned,byAnimationImages,byAnimationImages,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIImageView+DSLs/UIImageView+DSL/UIImageView+DSL.h:31; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIImageView+DSLs/UIImageView+DSL/UIImageView+DSL.m:30,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:116; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:37,
UIImageView,animationrepeatcount,aligned,byAnimationRepeatCount,byAnimationRepeatCount,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIImageView+DSLs/UIImageView+DSL/UIImageView+DSL.h:33; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIImageView+DSLs/UIImageView+DSL/UIImageView+DSL.m:48,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:136; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:55,
UIImageView,highlighted,swift_only,,byHighlighted,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:108; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:31,
UIImageView,highlightedanimationimages,swift_only,,byHighlightedAnimationImages,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:122; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:43,
UIImageView,highlightedimage,aligned,byHighlightedImage,byHighlightedImage,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIImageView+DSLs/UIImageView+DSL/UIImageView+DSL.h:30; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIImageView+DSLs/UIImageView+DSL/UIImageView+DSL.m:21,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:102; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:24,
UIImageView,image,aligned,byImage,byImage,byImage,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIImageView+DSLs/UIImageView+DSL/UIImageView+DSL.h:29; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIImageView+DSLs/UIImageView+DSL/UIImageView+DSL.m:12,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:18; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:96,JobsByPods/JobsByOCPods@Pods/Core/UIKit/UIImageView/UIImageView+Extra/UIImageView+Extra.h:30; JobsByPods/JobsByOCPods@Pods/Core/UIKit/UIImageView/UIImageView+Extra/UIImageView+Extra.m:18
UIImageView,preferredimagedynamicrange,swift_only,,byPreferredImageDynamicRange,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:158; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:75,
UIImageView,startanimation,swift_only,,startAnimation,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:81,
UIImageView,stopanimation,swift_only,,stopAnimation,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:87,
UIImageView,symbolconfig,swift_only,,bySymbolConfig,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:151; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIImageView/UIImageView+DSL.swift:68,
