class,api_kind,api_name,selector_arity,expected_dsl,canonical,readonly,class_member,sdk_file,sdk_line,declaration
UIView,instance_method,frameForAlignmentRect,1,byFrameForAlignmentRect,frameforalignmentrect,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,444,- (CGRect)frameForAlignmentRect:(CGRect)alignmentRect API_AVAILABLE(ios(6.0));
UIView,property,alignmentRectInsets,,byAlignmentRectInsets,alignmentrectinsets,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,447,"@property(nonatomic, readonly) UIEdgeInsets alignmentRectInsets API_AVAILABLE(ios(6.0));"
UIView,instance_method,viewForBaselineLayout,0,byViewForBaselineLayout,viewforbaselinelayout,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,449,"- (UIView *)viewForBaselineLayout API_DEPRECATED(""Override -viewForFirstBaselineLayout or -viewForLastBaselineLayout as appropriate, instead"", ios(6.0, 9.0)) API_UNAVAILABLE(tvos) API_UNAVAILABLE(visionos, watchos);"
UIView,property,viewForFirstBaselineLayout,,byViewForFirstBaselineLayout,viewforfirstbaselinelayout,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,452,"@property(readonly,strong) UIView *viewForFirstBaselineLayout API_AVAILABLE(ios(9.0));"
UIView,property,viewForLastBaselineLayout,,byViewForLastBaselineLayout,viewforlastbaselinelayout,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,455,"@property(readonly,strong) UIView *viewForLastBaselineLayout API_AVAILABLE(ios(9.0));"
UIView,property,intrinsicContentSize,,byIntrinsicContentSize,intrinsiccontentsize,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,459,"@property(nonatomic, readonly) CGSize intrinsicContentSize API_AVAILABLE(ios(6.0));"
UIView,instance_method,invalidateIntrinsicContentSize,0,byInvalidateIntrinsicContentSize,invalidateintrinsiccontentsize,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,460,- (void)invalidateIntrinsicContentSize API_AVAILABLE(ios(6.0));
UIView,instance_method,contentHuggingPriorityForAxis,1,byContentHuggingPriorityForAxis,contenthuggingpriorityforaxis,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,462,- (UILayoutPriority)contentHuggingPriorityForAxis:(UILayoutConstraintAxis)axis API_AVAILABLE(ios(6.0));
UIView,instance_method,contentCompressionResistancePriorityForAxis,1,byContentCompressionResistancePriorityForAxis,contentcompressionresistancepriorityforaxis,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,465,- (UILayoutPriority)contentCompressionResistancePriorityForAxis:(UILayoutConstraintAxis)axis API_AVAILABLE(ios(6.0));
UIView,instance_method,systemLayoutSizeFittingSize,1,bySystemLayoutSizeFittingSize,systemlayoutsizefittingsize,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,476,- (CGSize)systemLayoutSizeFittingSize:(CGSize)targetSize API_AVAILABLE(ios(6.0));
UIView,property,layoutGuides,,byLayoutGuides,layoutguides,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,483,"@property(nonatomic,readonly,copy) NSArray<__kindof UILayoutGuide *> *layoutGuides API_AVAILABLE(ios(9.0));"
UIView,instance_method,addLayoutGuide,1,byAddLayoutGuide,addlayoutguide,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,486,- (void)addLayoutGuide:(UILayoutGuide *)layoutGuide API_AVAILABLE(ios(9.0));
UIView,instance_method,removeLayoutGuide,1,byRemoveLayoutGuide,removelayoutguide,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,489,- (void)removeLayoutGuide:(UILayoutGuide *)layoutGuide API_AVAILABLE(ios(9.0));
UIView,property,leadingAnchor,,byLeadingAnchor,leadinganchor,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,495,"@property(nonatomic,readonly,strong) NSLayoutXAxisAnchor *leadingAnchor API_AVAILABLE(ios(9.0));"
UIView,property,trailingAnchor,,byTrailingAnchor,trailinganchor,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,496,"@property(nonatomic,readonly,strong) NSLayoutXAxisAnchor *trailingAnchor API_AVAILABLE(ios(9.0));"
UIView,property,leftAnchor,,byLeftAnchor,leftanchor,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,497,"@property(nonatomic,readonly,strong) NSLayoutXAxisAnchor *leftAnchor API_AVAILABLE(ios(9.0));"
UIView,property,rightAnchor,,byRightAnchor,rightanchor,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,498,"@property(nonatomic,readonly,strong) NSLayoutXAxisAnchor *rightAnchor API_AVAILABLE(ios(9.0));"
UIView,property,topAnchor,,byTopAnchor,topanchor,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,499,"@property(nonatomic,readonly,strong) NSLayoutYAxisAnchor *topAnchor API_AVAILABLE(ios(9.0));"
UIView,property,bottomAnchor,,byBottomAnchor,bottomanchor,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,500,"@property(nonatomic,readonly,strong) NSLayoutYAxisAnchor *bottomAnchor API_AVAILABLE(ios(9.0));"
UIView,property,widthAnchor,,byWidthAnchor,widthanchor,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,501,"@property(nonatomic,readonly,strong) NSLayoutDimension *widthAnchor API_AVAILABLE(ios(9.0));"
UIView,property,heightAnchor,,byHeightAnchor,heightanchor,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,502,"@property(nonatomic,readonly,strong) NSLayoutDimension *heightAnchor API_AVAILABLE(ios(9.0));"
UIView,property,centerXAnchor,,byCenterXAnchor,centerxanchor,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,503,"@property(nonatomic,readonly,strong) NSLayoutXAxisAnchor *centerXAnchor API_AVAILABLE(ios(9.0));"
UIView,property,centerYAnchor,,byCenterYAnchor,centeryanchor,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,504,"@property(nonatomic,readonly,strong) NSLayoutYAxisAnchor *centerYAnchor API_AVAILABLE(ios(9.0));"
UIView,property,firstBaselineAnchor,,byFirstBaselineAnchor,firstbaselineanchor,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,505,"@property(nonatomic,readonly,strong) NSLayoutYAxisAnchor *firstBaselineAnchor API_AVAILABLE(ios(9.0));"
UIView,property,lastBaselineAnchor,,byLastBaselineAnchor,lastbaselineanchor,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,506,"@property(nonatomic,readonly,strong) NSLayoutYAxisAnchor *lastBaselineAnchor API_AVAILABLE(ios(9.0));"
UIView,instance_method,constraintsAffectingLayoutForAxis,1,byConstraintsAffectingLayoutForAxis,constraintsaffectinglayoutforaxis,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,516,- (NSArray<__kindof NSLayoutConstraint *> *)constraintsAffectingLayoutForAxis:(UILayoutConstraintAxis)axis API_AVAILABLE(ios(6.0));
UIView,property,hasAmbiguousLayout,,byHasAmbiguousLayout,hasambiguouslayout,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,519,"@property(nonatomic, readonly) BOOL hasAmbiguousLayout API_AVAILABLE(ios(6.0));"
UIView,instance_method,exerciseAmbiguityInLayout,0,byExerciseAmbiguityInLayout,exerciseambiguityinlayout,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,521,- (void)exerciseAmbiguityInLayout API_AVAILABLE(ios(6.0));
UIView,property,restorationIdentifier,,byRestorationIdentifier,restorationidentifier,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,535,"@property (nullable, nonatomic, copy) NSString *restorationIdentifier API_AVAILABLE(ios(6.0));"
UIView,instance_method,encodeRestorableStateWithCoder,1,byEncodeRestorableStateWithCoder,encoderestorablestatewithcoder,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,536,- (void) encodeRestorableStateWithCoder:(NSCoder *)coder API_AVAILABLE(ios(6.0));
UIView,instance_method,decodeRestorableStateWithCoder,1,byDecodeRestorableStateWithCoder,decoderestorablestatewithcoder,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,537,- (void) decodeRestorableStateWithCoder:(NSCoder *)coder API_AVAILABLE(ios(6.0));
UIView,instance_method,snapshotViewAfterScreenUpdates,1,bySnapshotViewAfterScreenUpdates,snapshotviewafterscreenupdates,,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,542,- (nullable UIView *)snapshotViewAfterScreenUpdates:(BOOL)afterUpdates API_AVAILABLE(ios(7.0));
UIView,class_method,commitAnimations,0,byCommitAnimations,commitanimations,,YES,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,553,"+ (void)commitAnimations API_DEPRECATED(""Use the block-based animation API instead"", ios(2.0, 13.0)) API_UNAVAILABLE(visionos, watchos);"
UIView,class_method,setAnimationDelegate,1,bySetAnimationDelegate,setanimationdelegate,,YES,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,554,"+ (void)setAnimationDelegate:(nullable id)delegate API_DEPRECATED(""Use the block-based animation API instead"", ios(2.0, 13.0)) API_UNAVAILABLE(visionos, watchos);"
UIView,class_method,setAnimationWillStartSelector,1,bySetAnimationWillStartSelector,setanimationwillstartselector,,YES,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,555,"+ (void)setAnimationWillStartSelector:(nullable SEL)selector API_DEPRECATED(""Use the block-based animation API instead"", ios(2.0, 13.0)) API_UNAVAILABLE(visionos, watchos);"
UIView,class_method,setAnimationDidStopSelector,1,bySetAnimationDidStopSelector,setanimationdidstopselector,,YES,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,556,"+ (void)setAnimationDidStopSelector:(nullable SEL)selector API_DEPRECATED(""Use the block-based animation API instead"", ios(2.0, 13.0)) API_UNAVAILABLE(visionos, watchos);"
UIView,class_method,setAnimationDuration,1,bySetAnimationDuration,setanimationduration,,YES,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,557,"+ (void)setAnimationDuration:(NSTimeInterval)duration API_DEPRECATED(""Use the block-based animation API instead"", ios(2.0, 13.0)) API_UNAVAILABLE(visionos, watchos);"
